OrderNumber,Channel,Procured Date,OrderDate,Ship Date,Delivery Date,Warehouse Index,Customer Index,Region Index,Product Index,Order Quantity,Unit Price,Unit Cost
SO - 000101,Distributor,12/31/2017,5/31/2018,6/14/2018,6/19/2018,1,15,22,11,5,1963.1,1001.181
SO - 000102,Wholesale,12/31/2017,5/31/2018,6/22/2018,7/2/2018,2,20,18,2,5,3939.6,3348.66
SO - 000103,Export,12/31/2017,5/31/2018,6/21/2018,7/1/2018,1,16,4,11,10,1775.5,781.22
SO - 000104,Export,12/31/2017,5/31/2018,6/2/2018,6/7/2018,2,48,3,7,6,2324.9,1464.687
SO - 000105,Wholesale,4/10/2018,5/31/2018,6/16/2018,6/26/2018,2,49,41,7,6,1822.4,1476.144
SO - 000106,Wholesale,12/31/2017,5/31/2018,6/8/2018,6/13/2018,3,21,11,5,6,1038.5,446.555
SO - 000107,Distributor,12/31/2017,5/31/2018,6/8/2018,6/14/2018,4,14,62,1,10,1192.6,536.67
SO - 000108,Distributor,4/10/2018,5/31/2018,6/26/2018,7/1/2018,3,9,3,1,10,1815.7,1525.188
SO - 000109,Wholesale,12/31/2017,6/1/2018,6/16/2018,6/21/2018,3,9,76,6,7,3879.3,2211.201
SO - 000110,Wholesale,12/31/2017,6/1/2018,6/29/2018,7/1/2018,1,33,14,1,6,1956.4,1212.968
SO - 000111,Export,12/31/2017,6/1/2018,6/15/2018,6/20/2018,4,21,35,1,12,201,124.62
SO - 000112,Distributor,4/10/2018,6/1/2018,6/7/2018,6/17/2018,2,21,63,11,8,6277.9,2762.276
SO - 000113,Export,4/10/2018,6/1/2018,6/22/2018,7/2/2018,3,36,20,1,7,1051.9,641.659
SO - 000114,Export,4/10/2018,6/1/2018,6/7/2018,6/15/2018,3,17,57,7,9,254.6,216.41
SO - 000115,Distributor,12/31/2017,6/1/2018,6/15/2018,6/20/2018,2,32,55,11,5,3932.9,3146.32
SO - 000116,Wholesale,12/31/2017,6/1/2018,6/24/2018,7/2/2018,5,11,12,6,10,1112.2,700.686
SO - 000117,Wholesale,4/10/2018,6/1/2018,6/19/2018,6/27/2018,3,10,16,4,12,1239.5,904.835
SO - 000118,Export,4/10/2018,6/1/2018,6/6/2018,6/14/2018,4,30,46,13,12,984.9,393.96
SO - 000119,Distributor,4/10/2018,6/1/2018,6/7/2018,6/15/2018,5,5,31,1,5,5581.1,4130.014
SO - 000120,Wholesale,12/31/2017,6/1/2018,6/11/2018,6/17/2018,2,23,20,7,8,3095.4,1795.332
SO - 000121,Export,4/10/2018,6/1/2018,6/18/2018,6/20/2018,2,46,82,1,8,2278,1754.06
SO - 000122,Export,4/10/2018,6/2/2018,6/10/2018,6/16/2018,3,14,13,2,12,991.6,654.456
SO - 000123,Distributor,4/10/2018,6/2/2018,6/26/2018,6/28/2018,4,40,67,13,6,3979.8,3064.446
SO - 000124,Wholesale,12/31/2017,6/2/2018,6/22/2018,7/2/2018,1,19,85,12,12,1969.8,866.712
SO - 000125,Wholesale,4/10/2018,6/2/2018,6/16/2018,6/24/2018,2,15,49,8,12,268,131.32
SO - 000126,Wholesale,12/31/2017,6/2/2018,6/21/2018,7/1/2018,2,46,31,7,11,174.2,95.81
SO - 000127,Distributor,12/31/2017,6/2/2018,6/26/2018,7/6/2018,1,32,19,1,6,2988.2,2510.088
SO - 000128,Wholesale,12/31/2017,6/2/2018,6/20/2018,6/29/2018,1,32,22,5,11,3999.9,2679.933
SO - 000129,Distributor,4/10/2018,6/2/2018,6/21/2018,6/22/2018,2,22,23,11,10,5976.4,2450.324
SO - 000130,Wholesale,4/10/2018,6/2/2018,6/27/2018,6/29/2018,2,5,35,5,6,2901.1,2378.902
SO - 000131,Distributor,4/10/2018,6/3/2018,6/26/2018,7/5/2018,3,29,25,1,7,6076.9,2734.605
SO - 000132,Distributor,12/31/2017,6/3/2018,6/5/2018,6/10/2018,3,35,72,5,6,5735.2,4186.696
SO - 000133,Export,12/31/2017,6/3/2018,6/30/2018,7/10/2018,1,46,41,8,12,3919.5,2077.335
SO - 000134,Distributor,12/31/2017,6/3/2018,6/30/2018,7/5/2018,5,42,15,13,8,6083.6,3832.668
SO - 000135,Wholesale,4/10/2018,6/3/2018,6/14/2018,6/15/2018,5,2,18,13,5,2566.1,1642.304
SO - 000136,Wholesale,12/31/2017,6/3/2018,6/7/2018,6/13/2018,6,28,21,5,10,2278,1093.44
SO - 000137,Wholesale,12/31/2017,6/3/2018,6/14/2018,6/21/2018,1,46,19,11,7,261.3,120.198
SO - 000138,Wholesale,12/31/2017,6/3/2018,6/28/2018,7/8/2018,5,22,12,7,9,998.3,698.81
SO - 000139,Wholesale,12/31/2017,6/3/2018,6/13/2018,6/21/2018,2,34,72,2,6,3497.4,1958.544
SO - 000140,Wholesale,12/31/2017,6/3/2018,6/18/2018,6/28/2018,2,26,7,5,9,1132.3,486.889
SO - 000141,Wholesale,12/31/2017,6/3/2018,6/15/2018,6/17/2018,4,26,8,11,9,2405.3,1587.498
SO - 000142,Distributor,12/31/2017,6/3/2018,6/24/2018,7/3/2018,5,24,3,1,7,5701.7,3249.969
SO - 000143,Distributor,12/31/2017,6/4/2018,6/9/2018,6/16/2018,1,18,66,12,9,2452.2,1446.798
SO - 000144,Wholesale,12/31/2017,6/4/2018,6/30/2018,7/4/2018,4,21,23,5,7,3095.4,2012.01
SO - 000145,Export,12/31/2017,6/4/2018,6/12/2018,6/14/2018,1,14,85,11,9,3865.9,2164.904
SO - 000146,Distributor,12/31/2017,6/4/2018,6/10/2018,6/15/2018,4,3,35,2,7,2304.8,1382.88
SO - 000147,Distributor,12/31/2017,6/4/2018,6/21/2018,6/24/2018,4,13,19,13,10,3195.9,1470.114
SO - 000148,Wholesale,12/31/2017,6/4/2018,6/19/2018,6/26/2018,3,49,14,2,10,6452.1,5161.68
SO - 000149,Export,12/31/2017,6/5/2018,6/14/2018,6/17/2018,2,4,78,5,6,2003.3,921.518
SO - 000150,Wholesale,4/10/2018,6/5/2018,6/28/2018,7/7/2018,4,20,4,5,5,3638.1,1455.24
SO - 000151,Export,4/10/2018,6/5/2018,6/14/2018,6/17/2018,2,19,1,5,6,2278,1822.4
SO - 000152,Distributor,4/10/2018,6/5/2018,6/25/2018,6/29/2018,2,25,78,13,12,924.6,582.498
SO - 000153,Wholesale,4/10/2018,6/5/2018,6/21/2018,7/1/2018,2,8,15,7,11,3926.2,3062.436
SO - 000154,Export,12/31/2017,6/5/2018,6/12/2018,6/18/2018,5,24,9,7,7,3825.7,2257.163
SO - 000155,Wholesale,12/31/2017,6/5/2018,7/3/2018,7/8/2018,5,13,21,7,10,2257.9,1377.319
SO - 000156,Wholesale,12/31/2017,6/6/2018,7/2/2018,7/8/2018,2,32,18,6,7,1112.2,756.296
SO - 000157,Wholesale,12/31/2017,6/6/2018,6/22/2018,6/23/2018,2,28,11,3,5,3557.7,1814.427
SO - 000158,Distributor,12/31/2017,6/6/2018,6/9/2018,6/12/2018,6,8,83,1,7,2371.8,1233.336
SO - 000159,Wholesale,12/31/2017,6/6/2018,7/1/2018,7/4/2018,6,47,81,2,12,857.6,686.08
SO - 000160,Wholesale,12/31/2017,6/7/2018,6/14/2018,6/16/2018,1,33,79,5,11,3892.7,2880.598
SO - 000161,Distributor,12/31/2017,6/7/2018,6/13/2018,6/15/2018,2,26,19,7,8,3477.3,1390.92
SO - 000162,Distributor,12/31/2017,6/7/2018,6/11/2018,6/21/2018,2,20,41,7,6,3738.6,2803.95
SO - 000163,Wholesale,4/10/2018,6/7/2018,6/10/2018,6/13/2018,3,6,78,7,8,1072,589.6
SO - 000164,Wholesale,4/10/2018,6/7/2018,7/1/2018,7/2/2018,2,40,21,9,12,2257.9,1761.162
SO - 000165,Distributor,4/10/2018,6/7/2018,6/11/2018,6/13/2018,1,23,27,7,5,1058.6,751.606
SO - 000166,Wholesale,4/10/2018,6/7/2018,6/15/2018,6/25/2018,6,38,39,9,10,2492.4,1296.048
SO - 000167,Wholesale,4/10/2018,6/7/2018,6/13/2018,6/21/2018,6,30,23,2,6,3852.5,2465.6
SO - 000168,Wholesale,12/31/2017,6/8/2018,6/19/2018,6/25/2018,1,42,20,1,11,241.2,132.66
SO - 000169,Distributor,12/31/2017,6/8/2018,6/11/2018,6/17/2018,4,1,48,13,5,1051.9,494.393
SO - 000170,Distributor,12/31/2017,6/8/2018,6/14/2018,6/19/2018,2,11,80,5,8,227.8,107.066
SO - 000171,Wholesale,4/10/2018,6/8/2018,6/14/2018,6/15/2018,5,4,18,7,9,1078.7,506.989
SO - 000172,Wholesale,4/10/2018,6/8/2018,6/13/2018,6/20/2018,2,6,64,7,6,1005,743.7
SO - 000173,Distributor,4/10/2018,6/8/2018,7/3/2018,7/9/2018,3,17,24,7,6,2485.7,1317.421
SO - 000174,Distributor,4/10/2018,6/8/2018,6/30/2018,7/6/2018,2,7,10,11,10,2659.9,2154.519
SO - 000175,Wholesale,4/10/2018,6/9/2018,6/28/2018,7/3/2018,2,1,5,7,11,2224.4,1579.324
SO - 000176,Wholesale,4/10/2018,6/9/2018,6/12/2018,6/16/2018,5,27,65,11,8,2472.3,1260.873
SO - 000177,Wholesale,4/10/2018,6/9/2018,6/23/2018,6/24/2018,1,33,16,7,7,1011.7,799.243
SO - 000178,Wholesale,4/10/2018,6/9/2018,7/5/2018,7/13/2018,1,28,69,11,6,234.5,128.975
SO - 000179,Distributor,4/10/2018,6/9/2018,6/14/2018,6/17/2018,2,42,24,7,8,261.3,143.715
SO - 000180,Export,12/31/2017,6/9/2018,6/27/2018,7/1/2018,4,5,42,1,5,4006.6,2844.686
SO - 000181,Distributor,4/10/2018,6/9/2018,7/5/2018,7/13/2018,1,10,6,5,6,1333.3,866.645
SO - 000182,Wholesale,4/10/2018,6/10/2018,7/7/2018,7/9/2018,1,34,5,11,5,167.5,90.45
SO - 000183,Export,4/10/2018,6/10/2018,6/28/2018,7/2/2018,5,23,8,13,5,3195.9,1821.663
SO - 000184,Wholesale,4/10/2018,6/10/2018,6/30/2018,7/5/2018,3,18,17,3,10,1051.9,809.963
SO - 000185,Export,12/31/2017,6/10/2018,6/30/2018,7/3/2018,4,8,43,5,9,5447.1,3540.615
SO - 000186,Wholesale,4/10/2018,6/10/2018,6/16/2018,6/24/2018,2,36,11,2,8,3182.5,1973.15
SO - 000187,Wholesale,12/31/2017,6/11/2018,6/29/2018,7/1/2018,5,47,29,2,5,891.1,632.681
SO - 000188,Export,12/31/2017,6/11/2018,6/16/2018,6/19/2018,2,27,70,13,7,3892.7,2724.89
SO - 000189,Export,12/31/2017,6/11/2018,6/13/2018,6/16/2018,1,5,86,7,9,3953,3360.05
SO - 000190,Wholesale,12/31/2017,6/11/2018,6/28/2018,7/7/2018,2,38,78,12,9,924.6,545.514
SO - 000191,Distributor,4/10/2018,6/11/2018,7/7/2018,7/8/2018,2,21,78,5,10,3430.4,1989.632
SO - 000192,Wholesale,4/10/2018,6/11/2018,6/28/2018,7/6/2018,2,24,12,7,8,1152.4,622.296
SO - 000193,Wholesale,4/10/2018,6/11/2018,6/21/2018,6/24/2018,2,25,30,7,5,1085.4,922.59
SO - 000194,Wholesale,12/31/2017,6/12/2018,6/16/2018,6/22/2018,2,11,36,7,5,5031.7,4025.36
SO - 000195,Wholesale,4/10/2018,6/12/2018,6/28/2018,7/3/2018,2,17,60,7,8,1092.1,436.84
SO - 000196,Export,12/31/2017,6/12/2018,6/25/2018,6/27/2018,4,5,10,7,9,187.6,144.452
SO - 000197,Export,12/31/2017,6/12/2018,7/9/2018,7/16/2018,2,30,23,14,9,3993.2,2835.172
SO - 000198,Export,12/31/2017,6/12/2018,6/15/2018,6/18/2018,5,9,12,5,11,2472.3,1433.934
SO - 000199,Wholesale,4/10/2018,6/12/2018,7/5/2018,7/14/2018,4,47,3,13,11,1206,844.2
SO - 000200,Distributor,12/31/2017,6/12/2018,6/22/2018,6/29/2018,2,5,10,2,11,1728.6,985.302
SO - 000201,Wholesale,12/31/2017,6/12/2018,6/20/2018,6/29/2018,2,23,21,1,6,1983.2,1447.736
SO - 000202,Wholesale,4/10/2018,6/12/2018,7/10/2018,7/14/2018,2,14,70,7,7,5313.1,2656.55
SO - 000203,Export,4/10/2018,6/12/2018,6/17/2018,6/25/2018,4,44,12,9,11,871,566.15
SO - 000204,Wholesale,12/31/2017,6/13/2018,6/27/2018,7/1/2018,2,38,40,7,6,2532.6,2051.406
SO - 000205,Wholesale,4/10/2018,6/13/2018,6/25/2018,6/26/2018,2,14,10,13,8,5916.1,4673.719
SO - 000206,Wholesale,12/31/2017,6/13/2018,6/23/2018,7/1/2018,1,34,21,2,7,2887.7,1443.85
SO - 000207,Wholesale,12/31/2017,6/13/2018,6/20/2018,6/22/2018,2,13,39,5,7,1855.9,1447.602
SO - 000208,Distributor,4/10/2018,6/13/2018,6/17/2018,6/19/2018,4,5,34,5,6,207.7,135.005
SO - 000209,Wholesale,12/31/2017,6/13/2018,6/29/2018,7/6/2018,5,2,23,5,6,1058.6,772.778
SO - 000210,Wholesale,4/10/2018,6/13/2018,7/3/2018,7/13/2018,1,17,28,13,10,958.1,517.374
SO - 000211,Wholesale,4/10/2018,6/13/2018,7/8/2018,7/18/2018,2,40,66,13,9,2659.9,1675.737
SO - 000212,Distributor,12/31/2017,6/13/2018,7/5/2018,7/13/2018,2,15,26,2,12,2217.7,1707.629
SO - 000213,Wholesale,12/31/2017,6/14/2018,6/17/2018,6/20/2018,4,12,79,13,7,1715.2,857.6
SO - 000214,Wholesale,4/10/2018,6/14/2018,7/6/2018,7/9/2018,3,25,49,8,6,3932.9,1691.147
SO - 000215,Distributor,12/31/2017,6/14/2018,6/19/2018,6/20/2018,2,13,22,7,5,2546,1909.5
SO - 000216,Distributor,12/31/2017,6/14/2018,6/26/2018,7/1/2018,3,18,17,7,5,837.5,603
SO - 000217,Distributor,4/10/2018,6/14/2018,6/26/2018,7/5/2018,1,3,58,11,10,1809,1302.48
SO - 000218,Distributor,4/10/2018,6/14/2018,6/29/2018,7/3/2018,3,25,23,1,5,857.6,514.56
SO - 000219,Export,12/31/2017,6/14/2018,6/30/2018,7/7/2018,4,11,1,9,8,1748.7,1101.681
SO - 000220,Distributor,12/31/2017,6/14/2018,6/16/2018,6/17/2018,6,44,13,7,10,1266.3,582.498
SO - 000221,Wholesale,12/31/2017,6/14/2018,6/16/2018,6/22/2018,4,30,36,5,11,5058.5,3591.535
SO - 000222,Distributor,4/10/2018,6/14/2018,6/28/2018,7/6/2018,4,38,1,9,10,958.1,795.223
SO - 000223,Export,12/31/2017,6/14/2018,7/10/2018,7/14/2018,2,47,63,9,11,1802.3,756.966
SO - 000224,Wholesale,4/10/2018,6/15/2018,7/7/2018,7/16/2018,4,17,11,11,11,6298,4534.56
SO - 000225,Wholesale,12/31/2017,6/15/2018,7/2/2018,7/6/2018,4,28,33,11,6,2499.1,1824.343
SO - 000226,Wholesale,4/10/2018,6/15/2018,6/19/2018,6/23/2018,2,5,26,2,8,871,705.51
SO - 000227,Wholesale,12/31/2017,6/15/2018,7/12/2018,7/18/2018,1,32,6,7,6,750.4,360.192
SO - 000228,Distributor,4/10/2018,6/15/2018,6/23/2018,6/27/2018,2,21,16,2,5,763.8,504.108
SO - 000229,Export,12/31/2017,6/15/2018,6/26/2018,7/2/2018,3,49,40,2,11,844.2,565.614
SO - 000230,Wholesale,4/10/2018,6/15/2018,7/5/2018,7/14/2018,4,6,19,2,5,261.3,112.359
SO - 000231,Export,12/31/2017,6/15/2018,7/6/2018,7/16/2018,6,47,12,5,8,3999.9,2359.941
SO - 000232,Wholesale,12/31/2017,6/15/2018,6/25/2018,7/3/2018,1,32,9,9,7,1112.2,811.906
SO - 000233,Wholesale,4/10/2018,6/15/2018,6/26/2018,7/4/2018,2,18,24,11,8,2633.1,1843.17
SO - 000234,Distributor,12/31/2017,6/15/2018,7/9/2018,7/13/2018,2,8,71,10,5,1018.4,631.408
SO - 000235,Distributor,4/10/2018,6/15/2018,6/27/2018,6/30/2018,4,24,51,1,12,5219.3,3444.738
SO - 000236,Export,4/10/2018,6/15/2018,7/13/2018,7/20/2018,1,11,59,7,11,3999.9,2359.941
SO - 000237,Wholesale,4/10/2018,6/16/2018,6/27/2018,7/1/2018,5,50,83,1,10,1721.9,1084.797
SO - 000238,Wholesale,12/31/2017,6/16/2018,7/5/2018,7/12/2018,2,7,57,5,9,737,456.94
SO - 000239,Wholesale,4/10/2018,6/16/2018,7/7/2018,7/15/2018,4,2,4,9,9,1219.4,695.058
SO - 000240,Wholesale,12/31/2017,6/16/2018,7/12/2018,7/17/2018,3,18,12,1,6,891.1,712.88
SO - 000241,Wholesale,4/10/2018,6/16/2018,7/14/2018,7/18/2018,2,28,63,2,12,978.2,743.432
SO - 000242,Wholesale,4/10/2018,6/16/2018,7/1/2018,7/10/2018,2,47,50,11,9,3946.3,1657.446
SO - 000243,Wholesale,4/10/2018,6/16/2018,7/5/2018,7/6/2018,2,27,86,7,12,1299.8,922.858
SO - 000244,Distributor,4/10/2018,6/17/2018,7/14/2018,7/24/2018,6,21,2,7,5,5815.6,2791.488
SO - 000245,Distributor,4/10/2018,6/17/2018,7/8/2018,7/10/2018,2,43,61,2,10,1092.1,655.26
SO - 000246,Wholesale,4/10/2018,6/17/2018,7/10/2018,7/17/2018,4,42,58,7,7,1072,643.2
SO - 000247,Wholesale,4/10/2018,6/17/2018,7/8/2018,7/9/2018,1,34,2,9,11,4020,2653.2
SO - 000248,Wholesale,4/10/2018,6/17/2018,7/10/2018,7/15/2018,6,37,59,7,9,984.9,669.732
SO - 000249,Wholesale,4/10/2018,6/17/2018,7/2/2018,7/4/2018,5,50,15,10,12,227.8,100.232
SO - 000250,Wholesale,12/31/2017,6/17/2018,6/23/2018,6/26/2018,4,17,49,1,11,3993.2,3314.356
SO - 000251,Distributor,12/31/2017,6/17/2018,6/29/2018,7/8/2018,2,25,3,1,10,221.1,185.724
SO - 000252,Distributor,4/10/2018,6/18/2018,7/4/2018,7/14/2018,2,21,17,11,9,3356.7,2819.628
SO - 000253,Wholesale,12/31/2017,6/18/2018,7/9/2018,7/15/2018,3,35,17,5,6,1701.8,1157.224
SO - 000254,Wholesale,4/10/2018,6/18/2018,7/8/2018,7/9/2018,3,9,49,10,5,2566.1,2181.185
SO - 000255,Wholesale,12/31/2017,6/18/2018,6/22/2018,6/26/2018,2,22,6,8,12,221.1,126.027
SO - 000256,Wholesale,4/10/2018,6/18/2018,6/30/2018,7/5/2018,1,28,47,7,9,1782.2,980.21
SO - 000257,Wholesale,12/31/2017,6/18/2018,7/15/2018,7/16/2018,2,41,6,2,10,2003.3,801.32
SO - 000258,Wholesale,12/31/2017,6/18/2018,7/9/2018,7/16/2018,4,28,15,7,11,2385.2,1502.676
SO - 000259,Wholesale,4/10/2018,6/18/2018,7/11/2018,7/17/2018,4,22,28,9,11,2231.1,1784.88
SO - 000260,Wholesale,4/10/2018,6/18/2018,7/2/2018,7/7/2018,2,26,14,1,7,1005,412.05
SO - 000261,Distributor,4/10/2018,6/18/2018,7/12/2018,7/19/2018,3,12,24,6,12,2693.4,1939.248
SO - 000262,Wholesale,4/10/2018,6/18/2018,7/10/2018,7/11/2018,2,31,23,7,8,1105.5,652.245
SO - 000263,Distributor,4/10/2018,6/19/2018,7/10/2018,7/17/2018,6,25,19,12,9,1909.5,1088.415
SO - 000264,Distributor,4/10/2018,6/19/2018,6/21/2018,6/26/2018,2,35,73,3,8,1118.9,850.364
SO - 000265,Wholesale,4/10/2018,6/19/2018,6/28/2018,7/3/2018,2,45,75,2,10,1038.5,758.105
